DATE,ret_m
20151109,-0.009617
20151110,0.001290
20151111,-0.004136
20151112,-0.014517
20151113,-0.009785
20151116,0.013755
20151117,-0.001368
20151118,0.015289
20151119,-0.000995
20151120,0.003012
20151123,-0.000676
20151124,0.002372
20151125,0.001165
20151127,0.000780
20151130,-0.003856
20151201,0.009524
20151202,-0.010729
20151203,-0.014330
20151204,0.016455
20151207,-0.009795
20151208,-0.006114
20151209,-0.006600
20151210,0.002050
20151211,-0.019851
20151214,0.001597
20151215,0.011313
20151216,0.014906
20151217,-0.014615
20151218,-0.015068
20151221,0.007152
20151222,0.008839
20151223,0.013685
20151224,-0.000831
20151228,-0.003328
20151229,0.010021
20151230,-0.007376
20151231,-0.008202
20160104,-0.014900
20160105,0.001397
20160106,-0.013822
20160107,-0.023960
20160108,-0.010925
20160111,-0.001716
20160112,0.006078
20160113,-0.025859
20160114,0.015461
20160115,-0.021697
20160119,-0.002418
20160120,-0.010609
20160121,0.005685
20160122,0.022497
20160125,-0.016696
20160126,0.015938
20160127,-0.010554
20160128,0.005080
20160129,0.024569
20160201,-0.000359
20160202,-0.020012
20160203,0.005759
20160204,0.003651
20160205,-0.019618
20160208,-0.016957
20160209,-0.003064
20160210,0.000261
20160211,-0.011979
20160212,0.020146
20160216,0.017685
20160217,0.018118
20160218,-0.004207
20160219,-0.000227
20160222,0.014334
20160223,-0.011800
20160224,0.004976
20160225,0.011061
20160226,0.000278
20160229,-0.005928
20160301,0.022408
20160302,0.005693
20160303,0.005606
20160304,0.004156
20160307,0.003234
20160308,-0.013548
20160309,0.005594
20160310,-0.001287
20160311,0.017453
20160314,-0.001582
20160315,-0.004459
20160316,0.007492
20160317,0.008251
20160318,0.003873
20160321,0.000509
20160322,-0.000371
20160323,-0.009463
20160324,-0.000150
20160328,0.000801
20160329,0.011069
20160330,0.004485
20160331,-0.000883
20160401,0.004657
20160404,-0.004392
20160405,-0.010022
20160406,0.011088
20160407,-0.011648
20160408,0.004350
20160411,-0.001830
20160412,0.010409
20160413,0.011303
20160414,-0.000442
20160415,-0.000555
20160418,0.006776
20160419,0.004493
20160420,0.001218
20160421,-0.005260
20160422,0.001834
20160425,-0.002780
20160426,0.003360
20160427,0.002654
20160428,-0.008552
20160429,-0.004465
20160502,0.006751
20160503,-0.011103
20160504,-0.006189
20160505,-0.000496
20160506,0.003523
20160509,-0.000206
20160510,0.012315
20160511,-0.008277
20160512,-0.000766
20160513,-0.007973
20160516,0.010221
20160517,-0.008611
20160518,-0.000824
20160519,-0.003801
20160520,0.007633
20160523,-0.001793
20160524,0.013134
20160525,0.007324
20160526,-0.000124
20160527,0.004405
20160531,-0.000350
20160601,0.002370
20160602,0.003645
20160603,-0.001923
20160606,0.006147
20160607,0.002136
20160608,0.003563
20160609,-0.002812
20160610,-0.011231
20160613,-0.008125
20160614,-0.002771
20160615,-0.000500
20160616,0.001909
20160617,-0.001765
20160620,0.007276
20160621,0.002342
20160622,-0.001878
20160623,0.014428
20160624,-0.036606
20160627,-0.020306
20160628,0.018052
20160629,0.017606
20160630,0.013189
20160701,0.003012
20160705,-0.008218
20160706,0.005436
20160707,-0.000695
20160708,0.015480
20160711,0.004206
20160712,0.007923
20160713,-0.000222
20160714,0.004679
20160715,-0.000798
20160718,0.002596
20160719,-0.002358
20160720,0.004629
20160721,-0.003328
20160722,0.004500
20160725,-0.003160
20160726,0.001615
20160727,-0.001257
20160728,0.001658
20160729,0.002623
20160801,-0.002250
20160802,-0.007092
20160803,0.004379
20160804,0.000806
20160805,0.008063
20160808,0.000104
20160809,0.001070
20160810,-0.002562
20160811,0.004811
20160812,-0.000496
20160815,0.004011
20160816,-0.005481
20160817,0.001045
20160818,0.003382
20160819,-0.001829
20160822,-0.000428
20160823,0.002816
20160824,-0.006047
20160825,-0.000646
20160826,-0.001829
20160829,0.005233
20160830,-0.001521
20160831,-0.002586
20160901,0.000757
20160902,0.005885
20160906,0.003409
20160907,0.000812
20160908,-0.002066
20160909,-0.025030
20160912,0.013354
20160913,-0.015853
20160914,-0.000541
20160915,0.010108
20160916,-0.003862
20160919,0.001386
20160920,-0.000365
20160921,0.011880
20160922,0.007816
20160923,-0.005952
20160926,-0.008231
20160927,0.005092
20160928,0.006713
20160929,-0.009215
20160930,0.007824
20161003,-0.003066
20161004,-0.005621
20161005,0.004938
20161006,-0.000746
20161007,-0.003823
20161010,0.005604
20161011,-0.012617
20161012,0.000928
20161013,-0.003316
20161014,-0.000325
20161017,-0.002523
20161018,0.006567
20161019,0.003006
20161020,-0.001655
20161021,-0.000127
20161024,0.004445
20161025,-0.004365
20161026,-0.002827
20161027,-0.003972
20161028,-0.002570
20161031,0.000426
20161101,-0.006787
20161102,-0.007706
20161103,-0.003950
20161104,-0.001240
20161107,0.020946
